 ! Data covers 0.3-10 keV
 ! The data are in 3 columns: ";
 ! time, , source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/01191188
 ! BINMODE: GRB-like (counts)
#Time    	   	Flux    	Fluxpos 	Fluxneg
126.328	 1.751098569e-10	3.200140119e-11	-3.202313763e-11
202.638	 1.656594423e-10	3.84817026e-11	-3.85064229e-11
209.746	 1.663758591e-10	3.226965456e-11	-3.236547204e-11
746.019	 6.60679239e-10	1.004234055e-10	-1.00463517e-10
748.255	 9.01184163e-10	1.344130194e-10	-1.344677961e-10
750.380	 8.42823564e-10	1.256801469e-10	-1.257133614e-10
754.768	 7.7118987e-10	1.171964376e-10	-1.172277645e-10
757.603	 6.8665443e-10	1.084619316e-10	-1.085095209e-10
10217.281		9.2440491e-13	2.554951179e-13	-2.554951179e-13
760.226	 6.3104646e-10	9.77744856e-11	-9.78168477e-11
762.984	 6.2315121e-10	9.47037234e-11	-9.47319648e-11
780.864	 7.4513373e-10	1.111423599e-10	-1.111903485e-10
784.423	 3.543678963e-10	5.40682329e-11	-5.40891054e-11
789.292	 4.03343457e-10	6.24650763e-11	-6.24730986e-11
793.691	 4.34213703e-10	6.59914761e-11	-6.60121308e-11
798.376	 2.463629454e-10	4.63048245e-11	-4.63234464e-11
803.152	 3.94284429e-10	5.99401572e-11	-5.99693424e-11
807.933	 2.376102894e-10	4.33985376e-11	-4.34112063e-11
812.592	 2.743719891e-10	5.80014831e-11	-5.80108485e-11
160.705		1.708889292e-10	3.79161486e-11	-3.79161486e-11
752.639	 8.49696243e-10	1.266947682e-10	-1.267212309e-10
187.195		4.5648339e-10	8.02454334e-11	-8.02454334e-11
254.676		1.365441198e-10	2.967845166e-11	-2.967845166e-11
302.866		9.15826494e-11	2.089182612e-11	-2.089182612e-11
376.787		1.194503046e-10	2.6345451e-11	-2.6345451e-11
410.985		1.458172089e-10	3.326381355e-11	-3.326381355e-11
766.080	 5.75884617e-10	9.09672918e-11	-9.10084923e-11
769.099	 5.67098565e-10	8.62304685e-11	-8.62833939e-11
772.425	 5.36793873e-10	8.15877348e-11	-8.16172467e-11
775.275	 6.86497251e-10	1.04333823e-10	-1.04366856e-10
778.035	 6.78763899e-10	1.012278861e-10	-1.012624437e-10
526.974		2.449806051e-11	5.740482e-12	-5.740482e-12
698.393		2.614524924e-10	5.74596693e-11	-5.74596693e-11
728.205		4.39501524e-10	6.50107227e-11	-6.50107227e-11
4517.885		1.443029544e-12	3.059820654e-13	-3.059820654e-13
5510.631		1.582225524e-12	3.96201432e-13	-3.96201432e-13
11055.987		1.08855351e-12	2.339823585e-13	-2.339823585e-13
69286.247	      4.50553059e-13	1.21591206e-13	-1.21591206e-13
200909.048		1.027736853e-13	3.71376225e-14	-3.71376225e-14
